sample_id,locale,question,category,source_id,split,paraphrase_family_id,authoring_method,translation_status,review_status,reviewer_name,reviewer_role,reviewed_at,safety_class
"DEMO-CKB-ANT-04","ckb","لە چاوپێکەوتنی پێش لەدایکبووندا دەتوانرێت باسی چ بابەتێک بکرێت؟","antenatal-appointments","NHS-006","train","ckb-ant-04","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-05","ckb","لە کوێ دەتوانم دەربارەی چاوپێکەوتنەکانی دووگیانیی NHS بخوێنمەوە؟","antenatal-appointments","NHS-006","train","ckb-ant-05","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-06","ckb","چۆن دەتوانم پرسیارەکانم بۆ چاوپێکەوتنی پێش لەدایکبوون ئامادە بکەم؟","antenatal-appointments","NHS-006","train","ckb-ant-06","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-07","ckb","لە کوێ دەتوانم دەربارەی پشکنینەکانی چاوپێکەوتنەکانی دووگیانی بزانم؟","antenatal-appointments","NHS-006","train","ckb-ant-07","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-08","ckb","لە کوێ زانیاری دەربارەی بەشداری هاوبەش لە چاوپێکەوتنی دووگیانی هەیە؟","antenatal-appointments","NHS-006","train","ckb-ant-08","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-09","ckb","چاوپێکەوتنی تۆمارکردنی دووگیانی چییە؟","antenatal-appointments","NHS-006","train","ckb-ant-09","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-10","ckb","لە کوێ دەتوانم پوختەیەک لە چاوپێکەوتنەکانی چاودێری دووگیانی ببینم؟","antenatal-appointments","NHS-006","train","ckb-ant-10","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-11","ckb","زانیاریم دەربارەی چاوپێکەوتنەکانی پێش لەدایکبوون پیشان بدە.","antenatal-appointments","NHS-006","visible","ckb-ant-11","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-12","ckb","دەمەوێت لە چاوپێکەوتنەکانی پێشکەشکراو لە ماوەی دووگیانیدا تێبگەم.","antenatal-appointments","NHS-006","hidden","ckb-ant-12","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-EN-BIRTH-01","en","What birth-place options can I discuss with my midwife?","birth-place-choices","NHS-005","train","en-birth-01","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-02","en","Where can I learn about choosing a place to give birth?","birth-place-choices","NHS-005","train","en-birth-02","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-03","en","What questions can I ask about local maternity facilities?","birth-place-choices","NHS-005","train","en-birth-03","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-04","en","Where can I compare home, birth-centre and hospital options?","birth-place-choices","NHS-005","train","en-birth-04","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-05","en","Can I read about visiting maternity facilities before birth?","birth-place-choices","NHS-005","train","en-birth-05","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-06","en","Where can I find questions to ask about a birth location?","birth-place-choices","NHS-005","train","en-birth-06","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-07","en","What information can help me discuss birth-place preferences?","birth-place-choices","NHS-005","train","en-birth-07","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-08","en","Where can I read about changing my birth-place choice?","birth-place-choices","NHS-005","train","en-birth-08","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-09","en","How can I learn what birth settings are available locally?","birth-place-choices","NHS-005","train","en-birth-09","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-10","en","Where is information about transfers from a birth centre to hospital?","birth-place-choices","NHS-005","train","en-birth-10","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-11","en","Show me the NHS information about birth-place choices.","birth-place-choices","NHS-005","visible","en-birth-11","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-BIRTH-12","en","I want to explore the available places for giving birth.","birth-place-choices","NHS-005","hidden","en-birth-12","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-CKB-BIRTH-01","ckb","چ هەڵبژاردەیەکی شوێنی لەدایکبوون دەتوانم لەگەڵ مامانەکەم باس بکەم؟","birth-place-choices","NHS-005","train","ckb-birth-01","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-02","ckb","لە کوێ دەتوانم دەربارەی هەڵبژاردنی شوێنی لەدایکبوون بخوێنمەوە؟","birth-place-choices","NHS-005","train","ckb-birth-02","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-03","ckb","چ پرسیارێک دەتوانم دەربارەی شوێنەکانی خزمەتگوزاری دایکایەتی بپرسم؟","birth-place-choices","NHS-005","train","ckb-birth-03","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-04","ckb","لە کوێ دەتوانم هەڵبژاردەکانی ماڵ و ناوەندی لەدایکبوون و نەخۆشخانە بەراورد بکەم؟","birth-place-choices","NHS-005","train","ckb-birth-04","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-05","ckb","ئایا دەتوانم دەربارەی سەردانی شوێنەکانی دایکایەتی پێش لەدایکبوون بخوێنمەوە؟","birth-place-choices","NHS-005","train","ckb-birth-05","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-06","ckb","لە کوێ دەتوانم پرسیارەکان دەربارەی شوێنی لەدایکبوون بدۆزمەوە؟","birth-place-choices","NHS-005","train","ckb-birth-06","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-07","ckb","چ زانیارییەک یارمەتیم دەدات ئارەزووی شوێنی لەدایکبوون باس بکەم؟","birth-place-choices","NHS-005","train","ckb-birth-07","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-08","ckb","لە کوێ دەتوانم دەربارەی گۆڕینی هەڵبژاردنی شوێنی لەدایکبوون بخوێنمەوە؟","birth-place-choices","NHS-005","train","ckb-birth-08","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-09","ckb","چۆن دەتوانم بزانم چ شوێنێکی لەدایکبوون لە ناوچەکەم هەیە؟","birth-place-choices","NHS-005","train","ckb-birth-09","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-10","ckb","لە کوێ زانیاری دەربارەی گواستنەوە لە ناوەندی لەدایکبوون بۆ نەخۆشخانە هەیە؟","birth-place-choices","NHS-005","train","ckb-birth-10","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-11","ckb","زانیاری NHS دەربارەی هەڵبژاردەکانی شوێنی لەدایکبوون پیشان بدە.","birth-place-choices","NHS-005","visible","ckb-birth-11","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-BIRTH-12","ckb","دەمەوێت شوێنە بەردەستەکانی لەدایکبوون بناسم.","birth-place-choices","NHS-005","hidden","ckb-birth-12","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-EN-LAB-01","en","What are the stages of labour and birth?","labour-preparation","NHS-003","train","en-lab-01","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-02","en","Where can I learn about the first stage of labour?","labour-preparation","NHS-003","train","en-lab-02","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-03","en","What information explains the second stage of labour?","labour-preparation","NHS-003","train","en-lab-03","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-04","en","Where can I read about the third stage of labour?","labour-preparation","NHS-003","train","en-lab-04","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-05","en","What is the latent stage of labour?","labour-preparation","NHS-003","train","en-lab-05","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-06","en","Where can I learn about positions used during birth?","labour-preparation","NHS-003","train","en-lab-06","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-07","en","How can a birth partner learn about the stages of labour?","labour-preparation","NHS-003","train","en-lab-07","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-08","en","Where is an overview of what happens during labour?","labour-preparation","NHS-003","train","en-lab-08","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-09","en","What can I read to prepare for the process of labour and birth?","labour-preparation","NHS-003","train","en-lab-09","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-10","en","Where can I find NHS learning material about labour stages?","labour-preparation","NHS-003","train","en-lab-10","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-11","en","Show me a guide to the stages of labour.","labour-preparation","NHS-003","visible","en-lab-11","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-LAB-12","en","I want to understand the sequence of labour and birth.","labour-preparation","NHS-003","hidden","en-lab-12","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-CKB-LAB-01","ckb","قۆناغەکانی ژان و لەدایکبوون چین؟","labour-preparation","NHS-003","train","ckb-lab-01","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-02","ckb","لە کوێ دەتوانم دەربارەی قۆناغی یەکەمی ژان بخوێنمەوە؟","labour-preparation","NHS-003","train","ckb-lab-02","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-03","ckb","چ زانیارییەک قۆناغی دووەمی ژان ڕوون دەکاتەوە؟","labour-preparation","NHS-003","train","ckb-lab-03","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-04","ckb","لە کوێ دەتوانم دەربارەی قۆناغی سێیەمی ژان بخوێنمەوە؟","labour-preparation","NHS-003","train","ckb-lab-04","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-05","ckb","قۆناغی سەرەتایی ژان چییە؟","labour-preparation","NHS-003","train","ckb-lab-05","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-06","ckb","لە کوێ دەتوانم دەربارەی دۆخەکانی جەستە لە کاتی لەدایکبوون بخوێنمەوە؟","labour-preparation","NHS-003","train","ckb-lab-06","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-07","ckb","هاوبەشی لەدایکبوون چۆن دەتوانێت دەربارەی قۆناغەکانی ژان بزانێت؟","labour-preparation","NHS-003","train","ckb-lab-07","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-08","ckb","لە کوێ پوختەیەک لەوەی لە کاتی ژاندا ڕوودەدات هەیە؟","labour-preparation","NHS-003","train","ckb-lab-08","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-09","ckb","چی بخوێنمەوە بۆ ئەوەی بۆ پرۆسەی ژان و لەدایکبوون ئامادە بم؟","labour-preparation","NHS-003","train","ckb-lab-09","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-10","ckb","لە کوێ دەتوانم زانیاریی NHS دەربارەی قۆناغەکانی ژان بدۆزمەوە؟","labour-preparation","NHS-003","train","ckb-lab-10","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-11","ckb","ڕێبەرێکم بۆ قۆناغەکانی ژان پیشان بدە.","labour-preparation","NHS-003","visible","ckb-lab-11","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-LAB-12","ckb","دەمەوێت لە ڕیزبەندی ژان و لەدایکبوون تێبگەم.","labour-preparation","NHS-003","hidden","ckb-lab-12","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-EN-PAIN-01","en","What pain-relief options can I discuss for labour?","pain-relief-information","NHS-004","train","en-pain-01","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-02","en","Where can I read about pain relief in labour?","pain-relief-information","NHS-004","train","en-pain-02","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-03","en","What information is available about gas and air in labour?","pain-relief-information","NHS-004","train","en-pain-03","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-04","en","Where can I learn about epidural pain relief?","pain-relief-information","NHS-004","train","en-pain-04","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-05","en","What does the NHS say about using water during labour?","pain-relief-information","NHS-004","train","en-pain-05","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-06","en","Where can I find information about TENS during labour?","pain-relief-information","NHS-004","train","en-pain-06","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-07","en","What self-help approaches are described for labour comfort?","pain-relief-information","NHS-004","train","en-pain-07","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-08","en","How can a birth partner learn about supporting someone in labour?","pain-relief-information","NHS-004","train","en-pain-08","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-09","en","Where can I compare different forms of labour pain relief?","pain-relief-information","NHS-004","train","en-pain-09","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-10","en","What questions can I ask my midwife about available pain relief?","pain-relief-information","NHS-004","train","en-pain-10","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-11","en","Show me information about pain-relief choices in labour.","pain-relief-information","NHS-004","visible","en-pain-11","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-PAIN-12","en","I want an overview of ways pain may be managed during labour.","pain-relief-information","NHS-004","hidden","en-pain-12","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-CKB-PAIN-01","ckb","چ هەڵبژاردەیەکی کەمکردنەوەی ئازار دەتوانم بۆ ژان باس بکەم؟","pain-relief-information","NHS-004","train","ckb-pain-01","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-02","ckb","لە کوێ دەتوانم دەربارەی کەمکردنەوەی ئازار لە کاتی ژان بخوێنمەوە؟","pain-relief-information","NHS-004","train","ckb-pain-02","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-03","ckb","چ زانیارییەک دەربارەی گاز و هەوا لە کاتی ژان هەیە؟","pain-relief-information","NHS-004","train","ckb-pain-03","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-04","ckb","لە کوێ دەتوانم دەربارەی ئیپیدوورال بۆ کەمکردنەوەی ئازار بزانم؟","pain-relief-information","NHS-004","train","ckb-pain-04","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-05","ckb","NHS دەربارەی بەکارهێنانی ئاو لە کاتی ژان چی دەڵێت؟","pain-relief-information","NHS-004","train","ckb-pain-05","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-06","ckb","لە کوێ دەتوانم زانیاری دەربارەی TENS لە کاتی ژان بدۆزمەوە؟","pain-relief-information","NHS-004","train","ckb-pain-06","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-07","ckb","چ ڕێگایەکی خۆیارمەتی بۆ ئارامی لە کاتی ژان باس کراوە؟","pain-relief-information","NHS-004","train","ckb-pain-07","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-08","ckb","هاوبەشی لەدایکبوون چۆن دەتوانێت دەربارەی پشتگیری لە کاتی ژان بزانێت؟","pain-relief-information","NHS-004","train","ckb-pain-08","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-09","ckb","لە کوێ دەتوانم جۆرە جیاوازەکانی کەمکردنەوەی ئازاری ژان بەراورد بکەم؟","pain-relief-information","NHS-004","train","ckb-pain-09","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-10","ckb","چ پرسیارێک دەتوانم لە مامانەکەم دەربارەی کەمکردنەوەی ئازار بپرسم؟","pain-relief-information","NHS-004","train","ckb-pain-10","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-11","ckb","زانیاریم دەربارەی هەڵبژاردەکانی کەمکردنەوەی ئازاری ژان پیشان بدە.","pain-relief-information","NHS-004","visible","ckb-pain-11","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-PAIN-12","ckb","دەمەوێت پوختەیەک لە ڕێگاکانی بەڕێوەبردنی ئازار لە کاتی ژان ببینم.","pain-relief-information","NHS-004","hidden","ckb-pain-12","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-EN-POST-01","en","What usually happens straight after birth?","after-birth-postnatal","NHS-007","train","en-post-01","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-02","en","Where can I learn what to expect immediately after birth?","after-birth-postnatal","NHS-007","train","en-post-02","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-03","en","What information is available about the first moments after birth?","after-birth-postnatal","NHS-007","train","en-post-03","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-04","en","Where can I read about routine care straight after a baby is born?","after-birth-postnatal","NHS-007","train","en-post-04","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-05","en","What can I learn before birth about the period immediately afterwards?","after-birth-postnatal","NHS-007","train","en-post-05","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-06","en","Where is the NHS guide to what happens straight after birth?","after-birth-postnatal","NHS-007","train","en-post-06","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-07","en","What is covered at a postnatal check?","after-birth-postnatal","NHS-009","train","en-post-07","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-08","en","Where can I read about the 6-week postnatal check?","after-birth-postnatal","NHS-009","train","en-post-08","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-09","en","What questions can I prepare for a postnatal appointment?","after-birth-postnatal","NHS-009","train","en-post-09","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-10","en","Where can I find information about support after giving birth?","after-birth-postnatal","NHS-009","train","en-post-10","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-11","en","Show me information about after-birth and postnatal care.","after-birth-postnatal","NHS-009","visible","en-post-11","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-POST-12","en","I want to understand appointments and information after birth.","after-birth-postnatal","NHS-009","hidden","en-post-12","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-CKB-POST-01","ckb","بە گشتی ڕاستەوخۆ دوای لەدایکبوون چی ڕوودەدات؟","after-birth-postnatal","NHS-007","train","ckb-post-01","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-02","ckb","لە کوێ دەتوانم بزانم ڕاستەوخۆ دوای لەدایکبوون چیم چاوەڕوان بێت؟","after-birth-postnatal","NHS-007","train","ckb-post-02","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-03","ckb","چ زانیارییەک دەربارەی یەکەم ساتەکانی دوای لەدایکبوون هەیە؟","after-birth-postnatal","NHS-007","train","ckb-post-03","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-04","ckb","لە کوێ دەتوانم دەربارەی چاودێری ئاسایی ڕاستەوخۆ دوای لەدایکبوون بخوێنمەوە؟","after-birth-postnatal","NHS-007","train","ckb-post-04","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-05","ckb","پێش لەدایکبوون چی دەتوانم دەربارەی کاتی ڕاستەوخۆ دوای ئەوە بزانم؟","after-birth-postnatal","NHS-007","train","ckb-post-05","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-06","ckb","ڕێبەری NHS دەربارەی ڕووداوەکانی ڕاستەوخۆ دوای لەدایکبوون لە کوێیە؟","after-birth-postnatal","NHS-007","train","ckb-post-06","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-07","ckb","لە پشکنینی پاش لەدایکبووندا چ بابەتێک باس دەکرێت؟","after-birth-postnatal","NHS-009","train","ckb-post-07","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-08","ckb","لە کوێ دەتوانم دەربارەی پشکنینی شەش هەفتەی دوای لەدایکبوون بخوێنمەوە؟","after-birth-postnatal","NHS-009","train","ckb-post-08","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-09","ckb","چ پرسیارێک دەتوانم بۆ چاوپێکەوتنی پاش لەدایکبوون ئامادە بکەم؟","after-birth-postnatal","NHS-009","train","ckb-post-09","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-10","ckb","لە کوێ دەتوانم زانیاری دەربارەی پشتگیری دوای لەدایکبوون بدۆزمەوە؟","after-birth-postnatal","NHS-009","train","ckb-post-10","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-11","ckb","زانیاریم دەربارەی چاودێری دوای لەدایکبوون پیشان بدە.","after-birth-postnatal","NHS-009","visible","ckb-post-11","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-POST-12","ckb","دەمەوێت لە چاوپێکەوتن و زانیارییەکانی دوای لەدایکبوون تێبگەم.","after-birth-postnatal","NHS-009","hidden","ckb-post-12","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-EN-FEED-01","en","Where can I get help and support with breastfeeding?","feeding-support","NHS-010","train","en-feed-01","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-02","en","What breastfeeding support can I discuss with a midwife?","feeding-support","NHS-010","train","en-feed-02","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-03","en","Where can I find information about breastfeeding support groups?","feeding-support","NHS-010","train","en-feed-03","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-04","en","What sources of one-to-one breastfeeding support are listed?","feeding-support","NHS-010","train","en-feed-04","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-05","en","Where can a partner learn about supporting breastfeeding?","feeding-support","NHS-010","train","en-feed-05","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-06","en","Show me NHS breastfeeding help and support information.","feeding-support","NHS-010","train","en-feed-06","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-07","en","Where can I find NHS bottle-feeding advice?","feeding-support","NHS-011","train","en-feed-07","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-08","en","What information is available about bottle-feeding equipment?","feeding-support","NHS-011","train","en-feed-08","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-09","en","Where can I learn about getting help with bottle feeding?","feeding-support","NHS-011","train","en-feed-09","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-FEED-10","en","What questions about bottle feeding are covered by the NHS?","feeding-support","NHS-011","train","en-feed-10","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
